"CountryCode","CountryName","Region","DevelopmentStatus","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","membership","Col1","Col2"
"BHR","Bahrain","Western Asia","developing country",,,,,-3.5,10.6
"BRA","Brazil","South America","developing country",,,,,-6.6,10.3
"CHN","China","Eastern Asia","developing country",,,,"PM",-3.5,10.8
"CRI","Costa Rica","Central America","developing country",,,,,-5.0,11.4
"FRA","France","Western Europe","developed country",,,,"PM",-9.6,6.8
"GAB","Gabon","Middle Africa","developing country",,,,,-1.7,9.4
"GMB","Gambia","Western Africa","developing country","Least developed country",,,,-3.5,5.9
"JPN","Japan","Eastern Asia","developed country",,,,,-8.0,9.4
"KEN","Kenya","Eastern Africa","developing country",,,,,-6.3,12.4
"PRT","Portugal","Southern Europe","developed country",,,,,-9.4,9.2
"RUS","Russian Federation","Eastern Europe","developed country",,,,"PM",-7.9,12.8
"SVN","Slovenia","Southern Europe","developed country",,,,,-9.4,9.2
"SWE","Sweden","Northern Europe","developed country",,,,,-9.4,9.2
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe","developed country",,,,"PM",-9.6,7.0
"USA","United States of America","Northern America","developed country",,,,"PM",-9.1,-1.0
"AFG","Afghanistan","Southern Asia","developing country","Least developed country","Landlocked developing country",,,-5.1,10.6
"ALB","Albania","Southern Europe","developed country",,,,,-9.3,8.7
"DZA","Algeria","Northern Africa","developing country",,,,,-5.0,11.4
"AND","Andorra","Southern Europe","developed country",,,,,-9.6,9.6
"AGO","Angola","Middle Africa","developing country","Least developed country",,,,-2.7,7.8
"ATG","Antigua and Barbuda","Caribbean","developing country",,,"Small island developing State",,-4.5,8.7
"ARG","Argentina","South America","developing country",,,,,-6.9,10.2
"ARM","Armenia","Western Asia","developing country",,"Landlocked developing country",,,-6.8,9.4
"AUS","Australia","Australia and New Zealand","developed country",,,,,-9.3,8.7
"AUT","Austria","Western Europe","developed country",,,,,-9.4,9.2
"AZE","Azerbaijan","Western Asia","developing country",,"Landlocked developing country",,,-6.8,9.6
"BHS","Bahamas","Caribbean","developing country",,,"Small island developing State",,-4.5,10.7
"BGD","Bangladesh","Southern Asia","developing country","Least developed country",,,,-5.2,11.8
"BRB","Barbados","Caribbean","developing country",,,"Small island developing State",,-5.5,11.0
"BLR","Belarus","Eastern Europe","developed country",,,,,-7.2,11.2
"BEL","Belgium","Western Europe","developed country",,,,,-9.4,9.6
"BLZ","Belize","Central America","developing country",,,"Small island developing State",,-4.2,9.5
"BEN","Benin","Western Africa","developing country","Least developed country",,,,-5.7,7.8
"BTN","Bhutan","Southern Asia","developing country","Least developed country","Landlocked developing country",,,-1.4,8.9
"BOL","Bolivia (Plurinational State of)","South America","developing country",,"Landlocked developing country",,,-0.5,9.1
"BIH","Bosnia and Herzegovina","Southern Europe","developed country",,,,,-9.3,8.5
"BWA","Botswana","Southern Africa","developing country",,"Landlocked developing country",,,-5.1,7.8
"BRN","Brunei Darussalam","South-Eastern Asia","developing country",,,,,-5.0,11.4
"BGR","Bulgaria","Eastern Europe","developed country",,,,,-9.7,9.5
"BFA","Burkina Faso","Western Africa","developing country","Least developed country","Landlocked developing country",,,-4.8,12.0
"BDI","Burundi","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,-1.8,11.4
"KHM","Cambodia","South-Eastern Asia","developing country","Least developed country",,,,-4.6,10.5
"CMR","Cameroon","Middle Africa","developing country",,,,,-5.0,12.0
"CAN","Canada","Northern America","developed country",,,,,-9.2,8.1
"CAF","Central African Republic","Middle Africa","developing country","Least developed country","Landlocked developing country",,,-2.0,6.9
"TCD","Chad","Middle Africa","developing country","Least developed country","Landlocked developing country",,,-4.7,4.1
"CHL","Chile","South America","developing country",,,,,-5.5,11.4
"COL","Colombia","South America","developing country",,,,,-4.8,11.0
"COM","Comoros","Eastern Africa","developing country","Least developed country",,"Small island developing State",,-6.8,12.8
"COG","Congo","Middle Africa","developing country",,,,,-5.8,10.4
"CIV","Côte d'Ivoire","Western Africa","developing country",,,,,-5.0,10.3
"HRV","Croatia","Southern Europe","developed country",,,,,-9.4,9.2
"CUB","Cuba","Caribbean","developing country",,,"Small island developing State",,-1.5,10.3
"CYP","Cyprus","Western Asia","developing country",,,,,-9.4,9.2
"CZE","Czechia","Eastern Europe","developed country",,,,,-9.5,8.7
"PRK","Democratic People's Republic of Korea","Eastern Asia","developing country",,,,,-0.9,10.2
"COD","Democratic Republic of the Congo","Middle Africa","developing country","Least developed country",,,,-2.5,5.2
"DNK","Denmark","Northern Europe","developed country",,,,,-9.4,9.2
"DJI","Djibouti","Eastern Africa","developing country","Least developed country",,,,-5.0,11.4
"DMA","Dominica","Caribbean","developing country",,,"Small island developing State",,-2.7,5.7
"DOM","Dominican Republic","Caribbean","developing country",,,"Small island developing State",,-4.5,11.5
"ECU","Ecuador","South America","developing country",,,,,-3.8,11.8
