"CountryCode","CountryName","Region","DevelopmentStatus","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","membership","Col1","Col2"
"BHR","Bahrain","Western Asia","developing country",,,,,3.8,3.9
"BRA","Brazil","South America","developing country",,,,,6.3,4.9
"CHN","China","Eastern Asia","developing country",,,,"PM",11.5,2.1
"CRI","Costa Rica","Central America","developing country",,,,,5.2,2.4
"FRA","France","Western Europe","developed country",,,,"PM",22.3,-10.9
"GAB","Gabon","Middle Africa","developing country",,,,,-0.7,-1.2
"GMB","Gambia","Western Africa","developing country","Least developed country",,,,-1.1,-2.6
"JPN","Japan","Eastern Asia","developed country",,,,,10.3,-5.2
"KEN","Kenya","Eastern Africa","developing country",,,,,3.2,2.6
"PRT","Portugal","Southern Europe","developed country",,,,,13.5,-13.1
"RUS","Russian Federation","Eastern Europe","developed country",,,,"PM",3.7,-14.2
"SVN","Slovenia","Southern Europe","developed country",,,,,13.9,-12.9
"SWE","Sweden","Northern Europe","developed country",,,,,15.4,-5.6
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe","developed country",,,,"PM",22.0,-12.3
"USA","United States of America","Northern America","developed country",,,,"PM",26.7,-10.3
"AFG","Afghanistan","Southern Asia","developing country","Least developed country","Landlocked developing country",,,5.7,1.6
"ALB","Albania","Southern Europe","developed country",,,,,12.1,-14.2
"DZA","Algeria","Northern Africa","developing country",,,,,4.3,4.2
"AND","Andorra","Southern Europe","developed country",,,,,12.8,-11.6
"AGO","Angola","Middle Africa","developing country","Least developed country",,,,4.4,-1.9
"ATG","Antigua and Barbuda","Caribbean","developing country",,,"Small island developing State",,2.3,0.1
"ARG","Argentina","South America","developing country",,,,,8.6,-1.1
"ARM","Armenia","Western Asia","developing country",,"Landlocked developing country",,,9.3,-5.4
"AUS","Australia","Australia and New Zealand","developed country",,,,,10.4,-13.9
"AUT","Austria","Western Europe","developed country",,,,,15.1,-6.5
"AZE","Azerbaijan","Western Asia","developing country",,"Landlocked developing country",,,7.4,-2.1
"BHS","Bahamas","Caribbean","developing country",,,"Small island developing State",,4.8,3.1
"BGD","Bangladesh","Southern Asia","developing country","Least developed country",,,,4.2,2.3
"BRB","Barbados","Caribbean","developing country",,,"Small island developing State",,5.4,3.5
"BLR","Belarus","Eastern Europe","developed country",,,,,8.5,-3.8
"BEL","Belgium","Western Europe","developed country",,,,,15.2,-12.4
"BLZ","Belize","Central America","developing country",,,"Small island developing State",,3.5,1.3
"BEN","Benin","Western Africa","developing country","Least developed country",,,,1.1,0.2
"BTN","Bhutan","Southern Asia","developing country","Least developed country","Landlocked developing country",,,0.4,2.0
"BOL","Bolivia (Plurinational State of)","South America","developing country",,"Landlocked developing country",,,14.4,0.8
"BIH","Bosnia and Herzegovina","Southern Europe","developed country",,,,,14.8,-9.3
"BWA","Botswana","Southern Africa","developing country",,"Landlocked developing country",,,7.3,3.9
"BRN","Brunei Darussalam","South-Eastern Asia","developing country",,,,,4.8,3.4
"BGR","Bulgaria","Eastern Europe","developed country",,,,,12.3,-13.6
"BFA","Burkina Faso","Western Africa","developing country","Least developed country","Landlocked developing country",,,4.3,2.4
"BDI","Burundi","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,11.7,3.6
"KHM","Cambodia","South-Eastern Asia","developing country","Least developed country",,,,4.8,3.8
"CMR","Cameroon","Middle Africa","developing country",,,,,1.2,1.7
"CAN","Canada","Northern America","developed country",,,,,9.7,-14.7
"CAF","Central African Republic","Middle Africa","developing country","Least developed country","Landlocked developing country",,,-0.1,-3.7
"TCD","Chad","Middle Africa","developing country","Least developed country","Landlocked developing country",,,2.1,-7.6
"CHL","Chile","South America","developing country",,,,,5.4,3.1
"COL","Colombia","South America","developing country",,,,,2.9,1.7
"COM","Comoros","Eastern Africa","developing country","Least developed country",,"Small island developing State",,2.8,-1.6
"COG","Congo","Middle Africa","developing country",,,,,4.1,1.2
"CIV","Côte d'Ivoire","Western Africa","developing country",,,,,2.3,1.8
"HRV","Croatia","Southern Europe","developed country",,,,,14.5,-10.9
"CUB","Cuba","Caribbean","developing country",,,"Small island developing State",,1.3,3.1
"CYP","Cyprus","Western Asia","developing country",,,,,14.9,-8.4
"CZE","Czechia","Eastern Europe","developed country",,,,,15.2,-13.1
"PRK","Democratic People's Republic of Korea","Eastern Asia","developing country",,,,,13.5,8.6
"COD","Democratic Republic of the Congo","Middle Africa","developing country","Least developed country",,,,-0.7,-5.8
"DNK","Denmark","Northern Europe","developed country",,,,,14.7,-12.7
"DJI","Djibouti","Eastern Africa","developing country","Least developed country",,,,4.1,3.8
"DMA","Dominica","Caribbean","developing country",,,"Small island developing State",,13.0,1.6
"DOM","Dominican Republic","Caribbean","developing country",,,"Small island developing State",,4.9,3.0
"ECU","Ecuador","South America","developing country",,,,,2.6,3.1
"EGY","Egypt","Northern Africa","developing country",,,,,2.0,3.8
"SLV","El Salvador","Central America","developing country",,,,,4.3,1.9
"GNQ","Equatorial Guinea","Middle Africa","developing country","Least developed country",,,,-0.4,-7.4
"ERI","Eritrea","Eastern Africa","developing country","Least developed country",,,,5.7,3.9
"EST","Estonia","Northern Europe","developed country",,,,,13.1,-13.5
"ETH","Ethiopia","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,0.4,0.9
"FJI","Fiji","Melanesia","developing country",,,"Small island developing State",,6.5,2.8
"FIN","Finland","Northern Europe","developed country",,,,,14.3,-10.1
"GEO","Georgia","Western Asia","developing country",,,,,10.6,-10.0
"DEU","Germany","Western Europe","developed country",,,,,15.4,-12.1
"GHA","Ghana","Western Africa","developing country",,,,,4.3,2.9
"GRC","Greece","Southern Europe","developed country",,,,,12.7,-13.3
"GRD","Grenada","Caribbean","developing country",,,"Small island developing State",,5.4,3.9
"GTM","Guatemala","Central America","developing country",,,,,4.8,2.1
"GIN","Guinea","Western Africa","developing country","Least developed country",,,,6.8,4.6
"GNB","Guinea-Bissau","Western Africa","developing country","Least developed country",,"Small island developing State",,1.0,-1.1
"GUY","Guyana","South America","developing country",,,"Small island developing State",,4.5,3.3
"HTI","Haiti","Caribbean","developing country","Least developed country",,"Small island developing State",,10.0,3.1
"HND","Honduras","Central America","developing country",,,,,5.0,2.3
"HUN","Hungary","Eastern Europe","developed country",,,,,14.6,-13.6
"ISL","Iceland","Northern Europe","developed country",,,,,14.8,-11.4
"IND","India","Southern Asia","developing country",,,,,15.9,5.1
"IDN","Indonesia","South-Eastern Asia","developing country",,,,,4.9,4.0
"IRN","Iran (Islamic Republic of)","Southern Asia","developing country",,,,,1.3,3.6
"IRQ","Iraq","Western Asia","developing country",,,,,1.4,-0.7
"IRL","Ireland","Northern Europe","developed country",,,,,15.5,-5.2
"ISR","Israel","Western Asia","developing country",,,,,6.4,-20.7
"ITA","Italy","Southern Europe","developed country",,,,,13.9,-13.7
"JAM","Jamaica","Caribbean","developing country",,,"Small island developing State",,5.2,3.1
"JOR","Jordan","Western Asia","developing country",,,,,4.1,3.2
"KWT","Kuwait","Western Asia","developing country",,,,,3.7,3.6
"KGZ","Kyrgyzstan","Central Asia","developing country",,"Landlocked developing country",,,6.4,-3.0
"LAO","Lao People's Democratic Republic","South-Eastern Asia","developing country","Least developed country","Landlocked developing country",,,3.4,3.0
"LVA","Latvia","Northern Europe","developed country",,,,,16.3,-12.6
"LBN","Lebanon","Western Asia","developing country",,,,,2.8,3.5
"LSO","Lesotho","Southern Africa","developing country","Least developed country","Landlocked developing country",,,5.3,4.1
"LBR","Liberia","Western Africa","developing country","Least developed country",,,,1.9,-0.9
"LIE","Liechtenstein","Western Europe","developed country",,,,,15.0,-8.7
"LTU","Lithuania","Northern Europe","developed country",,,,,14.2,-13.9
"LUX","Luxembourg","Western Europe","developed country",,,,,15.0,-12.5
"MDG","Madagascar","Eastern Africa","developing country","Least developed country",,,,8.0,3.8
"MWI","Malawi","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,3.9,0.6
"MYS","Malaysia","South-Eastern Asia","developing country",,,,,4.6,3.2
"MDV","Maldives","Southern Asia","developing country",,,"Small island developing State",,4.4,3.0
"MLI","Mali","Western Africa","developing country","Least developed country","Landlocked developing country",,,4.1,2.9
"MLT","Malta","Southern Europe","developed country",,,,,15.3,-5.7
"MHL","Marshall Islands","Micronesia","developing country",,,"Small island developing State",,-0.5,-10.9
"MRT","Mauritania","Western Africa","developing country","Least developed country",,,,6.6,4.4
"MUS","Mauritius","Eastern Africa","developing country",,,"Small island developing State",,-0.1,0.1
"MEX","Mexico","Central America","developing country",,,,,3.5,2.4
"FSM","Micronesia (Federated States of)","Micronesia","developing country",,,"Small island developing State",,6.9,-18.0
"MCO","Monaco","Western Europe","developed country",,,,,17.3,-10.6
"MNG","Mongolia","Eastern Asia","developing country",,"Landlocked developing country",,,4.3,3.2
"MAR","Morocco","Northern Africa","developing country",,,,,5.3,3.3
"MOZ","Mozambique","Eastern Africa","developing country","Least developed country",,,,6.7,3.2
"MMR","Myanmar","South-Eastern Asia","developing country","Least developed country",,,,1.7,3.2
"NAM","Namibia","Southern Africa","developing country",,,,,7.4,4.3
"NPL","Nepal","Southern Asia","developing country","Least developed country","Landlocked developing country",,,4.2,3.0
"NLD","Netherlands","Western Europe","developed country",,,,,14.8,-12.8
"NZL","New Zealand","Australia and New Zealand","developed country",,,,,16.1,-3.7
"NIC","Nicaragua","Central America","developing country",,,,,3.0,2.7
"NER","Niger","Western Africa","developing country","Least developed country","Landlocked developing country",,,2.4,0.0
"NGA","Nigeria","Western Africa","developing country",,,,,4.9,4.2
"NOR","Norway","Northern Europe","developed country",,,,,13.5,-11.9
"OMN","Oman","Western Asia","developing country",,,,,3.7,3.6
"PAK","Pakistan","Southern Asia","developing country",,,,,13.3,4.2
"PLW","Palau","Micronesia","developing country",,,"Small island developing State",,4.1,-17.5
"PAN","Panama","Central America","developing country",,,,,8.3,4.0
"PNG","Papua New Guinea","Melanesia","developing country",,,"Small island developing State",,6.9,1.7
"PRY","Paraguay","South America","developing country",,"Landlocked developing country",,,5.5,1.6
"PER","Peru","South America","developing country",,,,,5.3,2.5
"PHL","Philippines","South-Eastern Asia","developing country",,,,,4.6,3.2
"POL","Poland","Eastern Europe","developed country",,,,,13.5,-14.6
"QAT","Qatar","Western Asia","developing country",,,,,3.7,3.6
"KOR","Republic of Korea","Eastern Asia","developing country",,,,,10.6,-7.0
"MDA","Republic of Moldova","Eastern Europe","developed country",,"Landlocked developing country",,,9.8,-10.9
"ROU","Romania","Eastern Europe","developed country",,,,,12.4,-12.9
"RWA","Rwanda","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,-0.4,-2.4
"KNA","Saint Kitts and Nevis","Caribbean","developing country",,,"Small island developing State",,1.0,-3.7
"LCA","Saint Lucia","Caribbean","developing country",,,"Small island developing State",,4.9,2.7
"VCT","Saint Vincent and the Grenadines","Caribbean","developing country",,,"Small island developing State",,3.2,0.8
"WSM","Samoa","Polynesia","developing country",,,"Small island developing State",,8.1,1.8
"SMR","San Marino","Southern Europe","developed country",,,,,8.9,-12.1
"STP","Sao Tome and Principe","Middle Africa","developing country","Least developed country",,"Small island developing State",,10.8,1.2
"SAU","Saudi Arabia","Western Asia","developing country",,,,,3.0,4.0
"SEN","Senegal","Western Africa","developing country","Least developed country",,,,4.8,4.0
"SYC","Seychelles","Eastern Africa","developing country",,,"Small island developing State",,3.0,-6.0
"SLE","Sierra Leone","Western Africa","developing country","Least developed country",,,,12.1,1.8
"SGP","Singapore","South-Eastern Asia","developing country",,,"Small island developing State",,4.8,3.4
"SVK","Slovakia","Eastern Europe","developed country",,,,,14.5,-13.0
"SLB","Solomon Islands","Melanesia","developing country","Least developed country",,"Small island developing State",,6.4,2.2
"SOM","Somalia","Eastern Africa","developing country","Least developed country",,,,-0.6,-4.2
"ZAF","South Africa","Southern Africa","developing country",,,,,8.2,4.4
"ESP","Spain","Southern Europe","developed country",,,,,12.6,-14.5
"LKA","Sri Lanka","Southern Asia","developing country",,,,,4.9,3.6
"SDN","Sudan","Northern Africa","developing country","Least developed country",,,,3.3,3.6
"SWZ","Swaziland","Southern Africa","developing country",,"Landlocked developing country",,,7.5,2.4
"SYR","Syrian Arab Republic","Western Asia","developing country",,,,,-0.3,2.6
"TJK","Tajikistan","Central Asia","developing country",,"Landlocked developing country",,,6.2,-3.1
"THA","Thailand","South-Eastern Asia","developing country",,,,,4.8,3.4
"MKD","The former Yugoslav Republic of Macedonia","Southern Europe","developed country",,"Landlocked developing country",,,13.2,-10.9
"TGO","Togo","Western Africa","developing country","Least developed country",,,,5.6,3.5
"TTO","Trinidad and Tobago","Caribbean","developing country",,,"Small island developing State",,2.0,2.2
"TUN","Tunisia","Northern Africa","developing country",,,,,4.1,3.6
"TUR","Turkey","Western Asia","developing country",,,,,11.7,-14.0
"TKM","Turkmenistan","Central Asia","developing country",,"Landlocked developing country",,,9.1,1.0
"UGA","Uganda","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,9.5,4.0
"UKR","Ukraine","Eastern Europe","developed country",,,,,12.3,-8.1
"ARE","United Arab Emirates","Western Asia","developing country",,,,,4.5,3.7
"TZA","United Republic of Tanzania","Eastern Africa","developing country","Least developed country",,,,4.4,3.4
"URY","Uruguay","South America","developing country",,,,,4.6,3.2
"UZB","Uzbekistan","Central Asia","developing country",,"Landlocked developing country",,,7.1,-5.0
"VUT","Vanuatu","Melanesia","developing country","Least developed country",,"Small island developing State",,0.8,-4.2
"VEN","Venezuela (Bolivarian Republic of)","South America","developing country",,,,,3.9,4.1
"VNM","Viet Nam","South-Eastern Asia","developing country",,,,,4.7,3.5
"YEM","Yemen","Western Asia","developing country","Least developed country",,,,3.5,3.9
"ZMB","Zambia","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,5.2,3.7
"ZWE","Zimbabwe","Eastern Africa","developing country",,"Landlocked developing country",,,7.6,3.0
"LBY","Libya","Northern Africa","developing country",,,,,0.8,-7.4
"CPV","Cabo Verde","Western Africa","developing country",,,"Small island developing State",,1.1,-8.9
"KAZ","Kazakhstan","Central Asia","developing country",,"Landlocked developing country",,,0.8,-7.3
"KIR","Kiribati","Micronesia","developing country","Least developed country",,"Small island developing State",,1.5,-9.2
"MNE","Montenegro","Southern Europe","developed country",,,,,7.6,-12.4
"NRU","Nauru","Micronesia","developing country",,,"Small island developing State",,2.4,-10.6
"SRB","Serbia","Southern Europe","developed country",,,,,6.5,-8.8
"SSD","South Sudan","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,3.1,-10.7
"CHE","Switzerland","Western Europe","developed country",,,,,9.6,-11.7
"TLS","Timor-Leste","South-Eastern Asia","developing country","Least developed country",,"Small island developing State",,2.0,-2.9
"TON","Tonga","Polynesia","developing country",,,"Small island developing State",,1.3,-8.0
"TUV","Tuvalu","Polynesia","developing country","Least developed country",,"Small island developing State",,1.3,-5.5
