"CountryCode","CountryName","Region","DevelopmentStatus","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","membership","Col1","Col2"
"BHR","Bahrain","Western Asia","developing country",,,,,13.0,-7.0
"BRA","Brazil","South America","developing country",,,,,12.6,-7.7
"CHN","China","Eastern Asia","developing country",,,,"PM",12.7,-7.3
"CRI","Costa Rica","Central America","developing country",,,,,9.8,-11.0
"FRA","France","Western Europe","developed country",,,,"PM",6.5,-10.2
"GAB","Gabon","Middle Africa","developing country",,,,,10.0,-2.2
"GMB","Gambia","Western Africa","developing country","Least developed country",,,,9.1,0.6
"JPN","Japan","Eastern Asia","developed country",,,,,6.0,-10.7
"KEN","Kenya","Eastern Africa","developing country",,,,,10.1,-4.2
"PRT","Portugal","Southern Europe","developed country",,,,,6.5,-10.2
"RUS","Russian Federation","Eastern Europe","developed country",,,,"PM",7.1,-10.5
"SVN","Slovenia","Southern Europe","developed country",,,,,6.0,-10.1
"SWE","Sweden","Northern Europe","developed country",,,,,6.5,-10.2
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe","developed country",,,,"PM",5.9,-9.3
"USA","United States of America","Northern America","developed country",,,,"PM",-11.4,3.8
"AFG","Afghanistan","Southern Asia","developing country","Least developed country","Landlocked developing country",,,12.7,-4.2
"ALB","Albania","Southern Europe","developed country",,,,,4.4,-7.7
"DZA","Algeria","Northern Africa","developing country",,,,,12.6,-7.7
"AND","Andorra","Southern Europe","developed country",,,,,6.3,-10.3
"AGO","Angola","Middle Africa","developing country","Least developed country",,,,8.9,-4.0
"ATG","Antigua and Barbuda","Caribbean","developing country",,,"Small island developing State",,13.5,-4.1
"ARG","Argentina","South America","developing country",,,,,9.6,-8.1
"ARM","Armenia","Western Asia","developing country",,"Landlocked developing country",,,11.1,-10.0
"AUS","Australia","Australia and New Zealand","developed country",,,,,-5.8,-11.3
"AUT","Austria","Western Europe","developed country",,,,,6.7,-10.4
"AZE","Azerbaijan","Western Asia","developing country",,"Landlocked developing country",,,12.7,-7.3
